lemma,uri
bubulo,b0672
buccino,43199
bucino,b0696
bulimo,b0726
bullesco,b0730
bullio,b0731
bullo,b0733
burio,103926
burrio,103930
busto,b0765
butio,b0775
buuino,37332
caballico,c0005
cacabo,c0012
cacaturio,c0017
caccabo,103971
cachinno,c0029
cacillo,c0035
caco,c0036
caculor,c0048
cacumino,c0051
cadesco,c0055
cado,c0061
caeco,c0078
caeculto,c0079
caecutio,c0081
caecuttio,49749
caedo,c0083
caelo,c0104
caemento,33986
caenaturio,104024
caenito,30556
caeno,57153
caerimonior,c0122
caespito,c0142
caio,c0151
caio,35808
calabrico,c0155
calceo,c0193
calchisso,104075
calcio,54568
calcitro,c0200
calco,c0203
calculo,c0209
caldo,104085
caleco,104086
calefacio,c0214
calefacto,c0218
calefio,c0215
caleo,c0222
caleor,132832
calesco,c1101
calfacio,54053
calficio,55235
calfio,56690
calico,c0227
calido,c0230
caligino,c0237
caligo,c0240
calleo,c0250
calligo,43440
callisco,c9704
calo,c0272
calueo,c0289
caluesco,c0289
caluio,20582
calumnior,c0296
caluo,c0298
caluor,c0299
camamero,104134
camaro,c0310
cambio,44535
cambio,c0311
camero,49627
camino,c0324
campestror,c0335
campso,c0344
cancello,c0372
cancerasco,c0376
cancero,c0376
candefacio,c0381
candefio,c0382
candeo,c0386
candesco,c1245
candico,c0388
candido,c0392
candifico,c0395
caneo,c0400
canesco,c0400
canifico,c0405
canisco,c0400
cano,c0428
canonizo,c0432
cantillo,30750
cantilo,c0462
cantito,c0464
canto,c0466
canturio,c0470
capello,c0481
capero,104228
caperro,c0484
capesco,52251
capesso,c0485
capillasco,c0492
capio,c0500
capisso,49826
capistro,c0505
caprifico,c0545
caprio,c0552
capso,56826
captito,c0573
captiuo,c0580
capto,c0582
capulo,c3549
carbonesco,c0601
carbunculo,c0604
carbunculor,132287
carcero,c0612
cardino,104306
careo,c0637
careor,132288
caresco,c1430
carino,c0646
carino,c0627
carmino,c4412
carnifico,c0675
carnificor,132834
carnufico,104337
caro,c0680
carpo,c0698
carrico,c0705
carro,52672
casito,c0757
caso,q0155
cassesco,c0747
cassito,c0757
casso,q0155
castifico,c0770
castigo,c0776
castrametor,132289
castro,c0796
cataplasmo,c0836
catechisso,104436
catechizo,c0864
catecizo,28428
cateno,c0877
catillo,c0898
cato,c0905
catomidio,c0910
catulio,c0921
caudifico,c0943
cauefacio,c0948
cauefio,c0917
caueo,c0949
cauerno,c0954
cauillo,104474
cauillor,c0966
caulesco,$0010
